year,anomaly,station_name,station_number,latitude,longitude
1941,0.146677237,Amberley,40004,-27.63,152.71
1942,0.121282042,Amberley,40004,-27.63,152.71
1943,-0.787620554,Amberley,40004,-27.63,152.71
1944,-1.046030811,Amberley,40004,-27.63,152.71
1945,-0.424273303,Amberley,40004,-27.63,152.71
1946,-0.897361418,Amberley,40004,-27.63,152.71
1947,-1.010568707,Amberley,40004,-27.63,152.71
1948,-1.070699662,Amberley,40004,-27.63,152.71
1949,-1.12372827,Amberley,40004,-27.63,152.71
1950,-0.709918106,Amberley,40004,-27.63,152.71
1951,-1.339375671,Amberley,40004,-27.63,152.71
1952,-0.323393043,Amberley,40004,-27.63,152.71
1953,-0.686577412,Amberley,40004,-27.63,152.71
1954,-0.396592696,Amberley,40004,-27.63,152.71
1955,-0.180477182,Amberley,40004,-27.63,152.71
1956,-0.855684202,Amberley,40004,-27.63,152.71
1957,-0.016290674,Amberley,40004,-27.63,152.71
1958,0.136048356,Amberley,40004,-27.63,152.71
1959,-0.911258352,Amberley,40004,-27.63,152.71
1960,-1.128147245,Amberley,40004,-27.63,152.71
1961,-1.202904217,Amberley,40004,-27.63,152.71
1962,-1.100930651,Amberley,40004,-27.63,152.71
1963,-0.951760784,Amberley,40004,-27.63,152.71
1964,-0.717996614,Amberley,40004,-27.63,152.71
1965,-0.420452981,Amberley,40004,-27.63,152.71
1966,-1.016780857,Amberley,40004,-27.63,152.71
1967,-0.773408569,Amberley,40004,-27.63,152.71
1968,-0.577399655,Amberley,40004,-27.63,152.71
1969,-0.143592901,Amberley,40004,-27.63,152.71
1970,-0.851930813,Amberley,40004,-27.63,152.71
1971,-0.85889244,Amberley,40004,-27.63,152.71
1972,-0.84904701,Amberley,40004,-27.63,152.71
1973,0.752615496,Amberley,40004,-27.63,152.71
1974,-0.951958876,Amberley,40004,-27.63,152.71
1975,-0.661967837,Amberley,40004,-27.63,152.71
1976,-0.569286904,Amberley,40004,-27.63,152.71
1977,-0.075711437,Amberley,40004,-27.63,152.71
1978,-0.525764714,Amberley,40004,-27.63,152.71
1979,-0.195513664,Amberley,40004,-27.63,152.71
1980,0.308242417,Amberley,40004,-27.63,152.71
1981,-0.224308147,Amberley,40004,-27.63,152.71
1982,-0.591634232,Amberley,40004,-27.63,152.71
1983,-0.037035041,Amberley,40004,-27.63,152.71
1984,-0.699884444,Amberley,40004,-27.63,152.71
